seurat_clusters,type,r
13,endothelial cell-Limb,0.7868408121769269
12,mesenchymal stem cell-Limb,0.81469872653647
14,B cell-Spleen,0.6961247689936406
15,mature luminal cell-Mammary,0.8220148024427476
20,mesenchymal stem cell-Limb,0.8175302559412416
4,monocyte-Marrow,0.7673596727694544
11,T cell-Spleen,0.7405229263837279
9,T cell-Marrow,0.7558493871630544
0,macrophage-Spleen,0.6636003927338565
19,luminal progenitor cell-Mammary,0.7440903294115198
2,monocyte-Marrow,0.7981176166558078
8,monocyte-Marrow,0.7786189373538187
18,"r<0.5, unassigned",0.482766520324944
1,monocyte-Marrow,0.7817069443157247
5,macrophage-Spleen,0.6541321930918225
16,monocyte-Marrow,0.7707565944234
3,macrophage-Spleen,0.6745753414333813
6,macrophage-Spleen,0.6614262641676549
17,macrophage-Spleen,0.690904484945892
10,monocyte-Marrow,0.7387454541974827
7,macrophage-Marrow,0.7588534371978938
